房源名称,面积,租金
"正规两居室 龙禧苑三区 可押0付1 地铁8号线附近 随时看房",89,6400
"北店嘉园 复式三居室 邻8号线育知路站 13号线回龙观站",112,5000
"正规两居室 龙禧苑三区 新装修 地铁8号线育知路站 随时看房",99,6500
"北店嘉园.北区 精装修新鲜出租 拎包入住",18,1800
"龙禧苑三区 精装两居室 随时看房,邻8号线育知路 随时看房",112,6500
"回龙观 龙禧苑正规卧室 可0押金.月付 临地铁8号线 拎包入住",13,1300
"主卧带飘窗 8号13号 北店嘉园南区拎包入住",25,1700
"单间出租全新精装修 温馨舒适 干净整洁 采光好 押一付一",18,2000
"主卧带飘窗 龙禧苑三区 押0付1 交通便利 随时看房",25,2400
"回龙观 龙禧苑三区精装三居室 南北通透 随时看房",86,7300
"三家合住北店嘉园北区主卧带阳台 回龙观地铁十",30,1900
"阳隔带阳台 龙禧苑三区 可押0付1 地铁8号线 随时看房",26,2700
"龙禧苑.三区/北店嘉园押一付一,拎包入住,家电齐全",16,1800
"0押金.可月付 龙禧苑南向卧室 临8号线育知路站",16,1400
"龙禧苑三区 精装三居室 一家人合租均可 大户型 月付",102,6200
"三家合住 回龙观 北店嘉园 正规大次卧 精装修 有飘窗式阳台",20,1600
"北店嘉园 复式三居室 邻8号线育知路站 13号线回龙观站",112,5000
"次卧室 龙禧苑三区 可押0付1 地铁8号线附近 随时看房",10,1400
