房源名称,面积,租金
"押0付1 流星花园正规主卧 临8号线平西府站 拎包住",25,2500
"0押金月付田园风光流星花园三区精装修主卧 8号平西府地铁站",102,2600
"流星花园三区 (特价房源) 电梯三居室 看房随时 8号线平西府",139,7800
"租房 流星花园三区 ((特价房源))阳隔(8号线平西府)",130,2600
"流星花园三区精装两居室 随时入住 平西府",100,6500
"租房(特价房源)流星花园三区,主卧独卫 (8号线平西府)看房随",30,3000
"次卧室 流星花园三区 全新装修 地铁8号线平西府站",13,2000
"次卧室 流星花园三区 可押0付1 地铁8号线平西府站 随时看房",13,2000
"地铁边,急租好房大五居室 合租看过来 不超过十个人 花园洋房",157,12000
"流星花园三区 精装修次卧 随时看房 拎包入住 可0押月付",109,2000
"流星花园三区 随时看房 拎包入住 可0押月付 新配家具家电",109,2100
"洋房电梯楼 精装两居室 随时入住 南北通透 家具家电齐全",108,8000
"回龙观龙泽流星花园三区精装一居室450013号线随时看房",50,4500
"洋房 电梯楼南北通透两居室业主直租家具家电齐全",100,7000
"流星花园三区 南北通透 2室 不临街",102,8000
"大五居室 合租看过来 不超过十个人 花园洋房 随时看 随时住",157,12000
"流星花园三区 电梯楼 随时看房 拎包入住 交通便利 0押月付",126,2100
"租房 (特价房源) 流星花园三区 一居室 看房随时 8号线平西府",50,4400
"流星花园三区 随时看房 拎包入住 新配家具家电 相寓4.0",80,1800
"租房((特价房源))三居室 带露台(8号线平西府)带电梯",150,8499
"租房 流星花园三区((特价房源))三改四(8号线平西府)随时看",120,8500
"租房 (0押金,可月付)两居室 流星花园三区(8号线平西府)",100,6999
"回龙观龙泽流星花园三区精装一居室450013号线随时看房",50,4500
"押0付1 流星花园电梯三居室 临8号线平西府站育知路",110,7600
"租房((特价房源))电梯 两居室 (8号线平西府)看房随时",100,7000
"流星花园三区 朝南 3室 不临街",127,9800
"主卧独卫 流星花园三区 随时看房 拎包入住 0押月付 新配家具家电",130,1600
"流星花园三区 随时看房 欧式装修 新配家电 随时入住 0押月付",109,6600
