房源名称,面积,租金,单平米租金
北卫家园合租次卧限女生,90,2000,22.22222222
福熙大道 豪华装修 南北通透大四居 看房方便 提包入住 朝阳北苑,227,32000,140.969163
绣菊园 南北三居 双阳台 户型方正 家电齐全 随时入住 朝阳北苑,102,5000,49.01960784
中铁国际城 高楼层 户型方正 带飘窗 家电齐全 随时起租 朝阳北苑,75,7800,104
北苑 立水桥南 美立方 精装一居 家具齐全 看房方便 急租,50,4500,90
润泽悦溪 东西通透 全明格局 带露台 家电齐全 看房方便 朝阳北苑,87,8000,91.95402299
"世华泊郡,南北通透,居家精装,带阳台,拎包入住,采光好",86,8300,96.51162791
"华贸城,南北通透,近地铁,近商业,家电齐全,拎包入住,短租",67,7000,104.4776119
北苑 立水桥南 华发颐园 精装一居 家具齐全 急租 月付,70,4000,57.14285714
"华贸城,南北三居,双层双卫,可合租,近地铁,近商业,随时起租",67,8000,119.4029851
北苑 媒体村 天居园 精装大主卧 带独立卫生间 急租,25,2800,112
"华贸城,明厨明卫,带飘窗,带阳台,居家精装,拎包入住,随时起",99,9500,95.95959596
北苑 立水桥南 望春园 精装大主卧 带独卫 急租 月付,40,3000,75
北苑 立水桥南 望春园 精装一室 大客厅 看房方便 急租月付,61,3900,63.93442623
"华贸城,居家精装,无遮挡,拎包住,近商业,近地铁,安全性高",55,5800,105.4545455
立水桥北苑家园望春园上号三居两厅两卫好房源,133,10500,78.94736842
北苑家园望春园三室一厅二卫,135,9800,72.59259259
北苑家园望春园二室一厅一卫,105,8000,76.19047619
立水桥北苑家园望春园上好两居好房源,106,8200,77.35849057
媒体村 天溪园 128平好房 两居两卫 可居家+ 南北通透,128,11500,89.84375
媒体村大厅独立会议室精装房,76,10000,131.5789474
天月园三室二厅二卫,150,15000,100
北苑 山水蓝维精装 两居 价格美丽,98,10000,102.0408163
福熙大道三室二厅一卫,147,14500,98.63945578
上元 南北通透 居家均可 随时看房,325,35000,107.6923077
"南北三居,双层双卫,可合租,近地铁,近商业,随时起租,看房方",67,8000,119.4029851
立水桥北苑家园望春园上号两居两卫好房源,88,6500,73.86363636
"北苑,万科星园精装三居室 干净 看房方便",125,13500,108
"媒体村附近 天月园 3室1厅1卫,拎包入住,近地铁",138,13000,94.20289855
"奥森北门世茂奥临,精装六居室,采光好,面积大,视野好",295,70000,237.2881356
北苑茉藜园 业主直租3居 豪华装修 租品质住户,127,11000,86.61417323
北苑家园望春园二室一厅一卫,105,8000,76.19047619
佳兴园三室一厅二卫,136,9500,69.85294118
北苑家园望春园二室一厅一卫,90,7800,86.66666667
傲城融富中心三室二厅一卫,163,18000,110.4294479
北苑 润泽悦溪 新上南北两居 老业主房 长租+短租 任您选,90,7466,82.95555556
北苑 润泽悦溪 新上精装两居 家电齐全 可以接受短租或长租,90,7833,87.03333333
北苑 润泽悦溪 新上豪装两居 家电齐全 业主直租 可长签,90,8250,91.66666667
北苑 立水桥南 旭辉奥都 新上三居室 老业主的房 可长签,120,9650,80.41666667
北苑 立水桥 旭辉奥都 新上铁开间 业主婚房 配套成熟,60,5250,87.5
"润泽悦溪,头次出租,欧式装修,拎包入住,南北通透,随时入住",89,9000,101.1235955
北苑路北 媒体村 天溪园别墅 精装修 看房约起,210,30000,142.8571429
"天畅园大面积房,看房方便",183,17500,95.6284153
北苑 天乐园 两室两厅两卫 整租,120,12000,100
时代庄园四室二厅三卫,245,28000,114.2857143
北卫新园 配置齐全 新出好房 干净温馨 实体原房,180,15000,83.33333333
北苑 北京青年城 精装主卧 带独卫 家具齐全 急租 0押月付,35,3000,85.71428571
茉藜园 正规两居室看房有钥匙 出行便利 家具家电齐全,105,8200,78.0952381
