房源名称,面积,租金,单平米租金
珠江摩尔 大三居 可注.册 随时入住 看房随时 近地铁,185,12000,64.86486486
0押金月付龙华园精装三居室包物业取暖地铁13号线,95,7300,76.84210526
"合租朝南次卧1700/月, 两家合住,业主出租。",18,1700,94.44444444
回龙观佰嘉城精装两居两卫 地铁13号线龙泽 8号线育知路,159,7000,44.02515723
回龙观霍营站100米国风美唐一期精装2居电梯集中供暖,93,8700,93.5483871
领秀慧谷精装修两居室0押金可月付 地铁生命科学园站,85,6200,72.94117647
0押金月付 龙跃苑新上精装复式出租 带露台,229,13000,56.76855895
国风美唐二期 豪装正规三居一卫 接受合租和一家人 电梯房包物业,98,8700,88.7755102
"+东亚上北南向开间4300,拎包入住,免中介费",50,4300,86
珠江摩尔 5.49复式166平米 租金低可注.册 昌平线城铁站精装修,166,9000,54.21686747
领秀慧谷精装修三居包物业取暖随时看房,89,6300,70.78651685
朱辛庄8号线 领秀慧谷精装修三居室,89,6500,73.03370787
企赛推荐 回龙观口 正规一室一厅出租 提前约 配套成熟,56,4500,80.35714286
龙跃苑东五区 精装次卧和主卧出租 霍营回龙观站 月付房租零押金,15,2000,133.3333333
"珠江摩尔,南向四居室,业主急租,低于市场价!",230,15000,65.2173913
和谐家园二区 精装正规两居室 随时看房 8号线,98,7500,76.53061224
押零付一 龙跃苑三区 三家合租出租主卧独卫 霍营地铁站,25,3000,120
珠江摩尔 西向三居 可注.册 随时入住 看房随时 近地铁,184,12900,70.10869565
珠江摩尔 精装修两居室 随时看房 朱辛庄地铁 昌平线地铁,166,9500,57.22891566
珠江摩尔 西向三居室 可 空房随时入住 地铁 配套齐,184,13000,70.65217391
尚 城花园 全景落地窗 采光视野好 拎包入住 朱辛庄地铁站,116,5500,47.4137931
国风美唐二期 三家合租出租一间朝南单间 可压零附一 东大街地铁,25,2500,100
0押金月付 龙跃苑新上精装复式出租 带露台,229,13000,56.76855895
"北安河路甲八号院,小区安静安全,环境适合",26,1850,71.15384615
龙博苑三区正规两居室出租看房方便,80,6500,81.25
主卧独卫带飘窗 田园风光雅苑 可押0付1 地铁8号线平西府站,25,3000,120
租房(0押金.可月付) 三居室 (13号线/8号线平西府) 看房随时,80,6000,75
"和谐家园二区 正规大次卧 三家住,八号线回龙观东大街 押零付一",25,2100,84
珠江摩尔南向两居室 价格美丽 看房随时 配套齐全 先到先得,160,8500,53.125
龙锦苑东二区 精装三居两卫 合租一家人即可 可押零付一,125,7200,57.6
珠江摩派小三居家电齐全 可注.册 家 地铁,98,5800,59.18367347
租房(0押金.可月付) 主卧 8号线平西府←看房随时,70,5800,82.85714286
"租房(0押金,可月付)三居室 带露台(8号线平西府)带电梯",150,8499,56.66
西二旗上地 回龙观新村西区 三家合租 主卧 南向 带阳台落地窗,25,2000,80
云趣园一区 正规两居室 八号线育知路 低楼层 免押金 可押零付一,112,6000,53.57142857
押零付一 矩阵小区 电梯房 正规两居室 八号线回龙观东大街 霍营,98,6200,63.26530612
矩阵小区69平一居室+业主包物业取暖+家电齐全+有电梯+8号线站,61,5000,81.96721311
公园悦府电梯房.包物业取暖豪华装修 押0付1 拎包入住,90,7880,87.55555556
押零付一 龙跃苑二区 精装两居室 霍营地铁站步行500米,75,6500,86.66666667
0押金月付 龙腾苑二区 精装次卧 13号线回龙观龙泽新龙城龙跃龙博,18,2100,116.6666667
国风美唐 两居室 6700 电梯房 13号线8霍营8号线东大街 押0付1,75,6700,89.33333333
和谐家园一区 四家合住出租主卧独卫 包物业取暖 可押零付一,25,2500,100
马连店小区 随时看房 0押月付 新配家电家具 带储藏间 平西府站,78,5700,73.07692308
龙腾苑三区 2室1厅1卫 业主直租 13号线回龙观龙泽霍营,100,6500,65
朱辛庄新村豆各庄新村昌艺园城北人家各种单间出租朱辛庄地铁,10,500,50
"小,大气魄,还在等什么,来电话啊",60,4500,75
龙跃苑中间楼层 精心装修 南北通透 家电齐全拎包入住,99,6000,60.60606061
两居随时可看长签不,89,7800,87.64044944
正规三居室 龙锦苑四区 可押0付1 地铁8号线平西府 随时看房,125,7500,60
珠江摩尔南向两居室 价格美丽 看房随时 配套齐全 交通便利,160,8500,53.125
"入住,可",120,10000,83.33333333
"地铁边,急租好房南向相寓4.0开间 电梯房包物业取暖 平西府 月付",43,4200,97.6744186
领秀慧谷尚城小区 新小区 双地铁 家具家电齐全 随时签约,118,6300,53.38983051
回龙观地铁附近 龙腾苑精装两居室 看房随时,92,6500,70.65217391
珠江摩派 精装三居室 复式格局 可居家可地铁永旺商城,70,5000,71.42857143
冠寓直租 不收杂费 近西二旗上地 免费健身房 影音厅 桌游室 花园,30,4600,153.3333333
尚城148平复式大三居丨临生命科学园站、永旺商场丨包物业取暖,148,5800,39.18918919
生命科学园站旁86平大一居丨统一精装丨包物业取暖丨跃层格局,86,5000,58.13953488
"此房为南北向五室三厅四卫,建筑面积为260平米 拎包入住",260,12000,46.15384615
"正规三居,家具家电全齐,接受合租",91,8000,87.91208791
龙锦苑四区精装3居室 南北通透环境优美 交通便利拎包住,119,7800,65.54621849
"地铁边,急租好房精装复式两居室 温馨 可押零付一 随时看房随时",115,6800,59.13043478
"一层带院出租,户型好,楼层好,价钱也美丽,非诚勿扰,期待有缘",43,3480,80.93023256
"尚城两居室,大阳台户型 价格美丽 看房随时 先到先得别犹豫",116,5500,47.4137931
尚 城花园 全景落地窗 采光视野好 拎包入住 朱辛庄地铁站,116,5500,47.4137931
回龙观、珠江摩尔、包物业取暖、电梯房、城铁口、高速旁、先到得,163,9500,58.28220859
云趣园一区 精装两居室 南北通透 随时入住,75,6500,86.66666667
珠江摩尔 精装大两居 可注.册 可做员工宿舍 感谢点击!关注,168,9600,57.14285714
龙跃苑三区 精装主卧带阳台 霍营回龙观站 月付房租零押金,25,2100,84
龙跃苑三区 精装主卧独卫和次卧出租 霍营回龙观站 月付房租,28,2800,100
租房(0押金.可月付) 两居室 (8号线平西府)看房随时,90,6500,72.22222222
尚城小区 精装两居室 环境好 家具家电齐全 拎包入住,116,5000,43.10344828
押零付一 公园悦府 精装两居室 平西府地铁站 步行50米,75,7500,100
"零押金月付,独立开间,国风美唐只要3500元,就在霍营地铁口",40,3500,87.5
精装复式两居室 温馨 可押零付一 随时看房随时入住,115,6800,59.13043478
生命科学园站旁复式大三居丨包物业取暖丨中.央空调丨可注.册,184,12000,65.2173913
西三旗 地铁八号线十三号线南店新村正规两居无,80,5000,62.5
家 触手可及 回龙观领秀慧谷小区 精装三居室 可合租月付,116,7000,60.34482759
珠江摩尔 精装修 随时看房 生命科学园地铁 永旺商场,82,9500,115.8536585
七里渠 精装两居室 朱辛庄站 采光好 随时可以用房,82,5200,63.41463415
珠江摩派 精装三居室 复式格局 可居家可地铁永旺商城,70,5000,71.42857143
