房源名称,面积,租金,单平米租金
天通苑西三区合租次卧3室性别不限,23,1800,78.26086957
天通苑北一区一室0厅零卫,268,2800,10.44776119
天通苑东二区二室一厅一卫,91,4450,48.9010989
可短租、长签、0押金、月付,208,1850,8.894230769
"主卧独卫、0押金、月付、、小区环境好,周边生活设施齐全",140,2850,20.35714286
0押金、月付、主卧独卫、交通便利、周边设施齐全,140,2600,18.57142857
主卧独卫、0押金、月付、交通便利、邻近,140,2600,18.57142857
0押金、月付、4家合住正规单间、交通便利,140,2200,15.71428571
主卧独卫、0押金月付、生活环境好、交通便利,140,2600,18.57142857
单间、0押金、月付、周边设施齐全,140,2100,15
0押金、月付、正规单间、交通便利、周边设施齐全,130,1950,15
0押金、月付、小区环境好、交通便利、上班方便,140,2350,16.78571429
0押金、月付、主卧、5到、价格优惠,92,2550,27.7173913
单间、价格优惠、小区环境好、0押金、月付、步行到,130,2200,16.92307692
0押金、月付、主卧独卫、周边设施齐全、交通便利、走路5,140,2350,16.78571429
"主卧独卫、0押金、月付、5到、公交、小区环境好,设施齐",140,2700,19.28571429
"随心住、0押金、月付、交通便利,小区环境好。",120,7000,58.33333333
0押金、月付、小区环境好、周边公交、设施齐全,140,2800,20
0押金、月付、独立卫生间、小区环境好、步行到、龙德广场旁,140,2800,20
、主卧独卫、0押金、月付、小区环境好、周边设施齐全,200,2600,13
天通苑北三区二室一厅二卫,112,4700,41.96428571
天通公园里二室一厅二卫,94,7000,74.46808511
天通苑本四区三室二厅二卫,216,2000,9.259259259
太平家园小区二室一厅一卫,91,6600,72.52747253
正规单间、0押金、月付、小区环境好、交通便利,183,1800,9.836065574
"0押金、月付、主卧独卫、带阳台、小区环境好,价格亲民",140,2800,20
电梯房、0押金、月付、出门就坐车、小区环境好、成熟小区,176,2200,12.5
天通苑西三区四室二厅二卫,249,1890,7.590361446
天通苑本三区二室一厅一卫,67,5300,79.10447761
天通公园里二室二厅二卫,50,5500,110
天通苑北三区二室一厅二卫,97,4900,50.51546392
天通公园里二室二厅二卫,50,5500,110
天通苑北三区二室一厅二卫,97,4900,50.51546392
天通苑东三区二室一厅一卫,87,4800,55.17241379
天通苑西二区二室一厅二卫,144,2400,16.66666667
天通苑本五区三室一厅二卫,160,7500,46.875
天通苑北三区四室二厅二卫,190,7500,39.47368421
龙德广场、5号线、多条公交线路、成熟小区、,90,6000,66.66666667
下楼、交通贼方便、购物环境好、小区成熟,85,5800,68.23529412
下楼、公交、出门逛龙德、小区绿化好,160,2300,14.375
独立卫生间、交通便利、小区环境好、交通方便,200,2500,12.5
"想找一个。上班、生活 都方便的地方么,看这里",160,2100,13.125
步行到、公交方便、周边生活设施齐全。押0,67,5600,83.58208955
一层、一层、一层 成熟小区、生活配套设施齐全,163,6000,36.80981595
主卧独卫、周边设施齐全、交通贼便利、周边小吃多,136,2800,20.58823529
阳台、视野好、周边吃住行、0押金、月付、没有生活负担,158,1800,11.39240506
独门独卫、周边设施齐全、满足生活吃住行、出门坐车,200,2600,13
阳台、周边设施齐全、下楼、小吃一条街,160,2100,13.125
下楼超市、出门公交、交通便利、小区成熟、温馨两居,95,5800,61.05263158
出门地铁、快三、公交、可押0付1、龙德广场、小西单,23,2260,98.26086957
精装修南北大三居 家电齐全 随时看房 可以合租,160,8800,55
地铁口精装双卫三居室 拎包入住 可以合租 看房方便,133,8800,66.16541353
0押金可月付 带电梯两室一厅一厨一卫 精装修 家电齐全拎包住,108,4650,43.05555556
(0押金 可月付天通苑 带阳台 精装卧室 有钥匙 看房方便,20,1550,77.5
0押金+可月付天通苑北三区3层 南北两居168平米可合租,164,4500,27.43902439
0押金+可月付+北二区精装电梯双卫大两居+看房随时联系,107,5300,49.53271028
"这么热的天,还在看房吗?真实价格 业主直租 看房随时 有钥匙",136,7500,55.14705882
17号线旁 精装两居 家电齐全 低楼层 适合老人和小孩,90,5800,64.44444444
"(0押金可月付)天通中苑新上电梯大三居,南北通透,精装修",130,8500,65.38461538
(0押金 可月付)天通苑北二区 精装双卫三居 初次出租,148,7500,50.67567568
(0押金 可月付)天通苑中苑精装修大两居电梯房,110,5950,54.09090909
东二 精装两居 出租 南北通透 业主很好说话 看房随,91,5800,63.73626374
天通苑东三区 三层两居 国泰物美,93,5500,59.13978495
"通透三居室,面积大,品质装修,出行便利,配套成熟",146,13000,89.04109589
天通苑北三区 精装修跃层复式四居室 业主初次出租 拎包住,160,10500,65.625
"(0押金可月付)中苑精装大三居,155平,长租,包物业供暖!",155,8500,54.83870968
地铁天通苑南、主卧带阳台、交通便利、龙德广场、可押0,26,2450,94.23076923
昌平天通苑地铁站、快三专线、龙德广场、可押0付1,26,2750,105.7692308
0押金 月付 周边设施齐全 昌平天通苑站 快三专线,150,2100,14
押0付1 周边设施齐全 地铁天通苑站 5号线,160,2350,14.6875
"天通苑地铁边精装两居室,随时可看随时可入住",74,6500,87.83783784
(零押金月付)双卧朝南两居室 南北通透 地铁五号线,92,6200,67.39130435
天通中苑精装大3居您的 温馨小筑 爱的家园 期待有缘人的光临,153,7500,49.01960784
"业主出租,自己用的家具家电全部留下,采光好南北通透",180,7800,43.33333333
0押金 月付 可短租 懂房的看过来,30,2100,70
0押金 月付 正规大三居 双卧朝阳 留给懂房的你,140,6800,48.57142857
0押金 月付 复式楼上石墙次卧带阳台 好房不等人,25,1900,76
0押金 月付 石墙次卧带露台 交通自己看 好房不等人,25,1800,72
0押金 月付 复式楼上石墙次卧带阳台 房子超,25,1800,72
0押金 月付 复式好单间 楼下商场公交站,20,1700,85
0押金 月付 正规主卧 面积大采光好,30,2600,86.66666667
0押金 月付 正规主卧带独卫 交通没得挑 好房不等人,35,2800,80
0押金 月付 南北向两居室 小区免费停车 楼下商场公交站,98,5500,56.12244898
0押金 月付 南北向两居 这装修 自己瞧瞧 手慢无,98,5300,54.08163265
0押金 月付 正规主卧独卫 好房不等人,30,1800,60
0押金 月付 复式楼上主卧独卫带阳台 好房不等人,30,2300,76.66666667
