房源名称,面积,租金,单平米租金
"沙河出租正规,一居,二居,三居,家具家电齐全,",54,3000,55.55555556
"沙河巩华家园两居室,先到先得。享受全方面优惠 随时住",86,4000,46.51162791
"沙河出租正规,一居,二居,三居,家具家电齐全,",86,3500,40.69767442
巩华家园 兆丰家园 北优 正规大两居 随时入住,94,4000,42.55319149
"沙河出租正规,一居,二居,三居,家具家电齐全,",125,4000,32
"沙河站正规一居室急租,随时入住",54,3000,55.55555556
沙河 高教园 北街家园 民用水电 交通便利 2200每月,29,2200,75.86206897
兆丰家园(东区) 南北通透 精装修 两室一厅 有意者滴滴我哟,85,3700,43.52941176
兆丰家园(东区) 朝南向 一室一厅 随时看房 有意者滴滴我哟,54,2800,51.85185185
兆丰家园 精装修 南北通透 三室一厅 随时看房 有意者滴滴我哦,125,4500,36
巩华家园 朝南向 一室一厅 随时看房 有意者滴滴我哦,54,2900,53.7037037
巩华家园 南北通透 两室一厅 随时看房 有意者滴滴我哦,86,4000,46.51162791
王庄工业园 精装修 朝南向 37平开间 随时看房 有意者滴滴我哦,37,1500,40.54054054
兆丰家园 朝南向 精装修 一室一厅 随时看房 有意者滴滴我哦,54,2800,51.85185185
巩华家园(白楼)朝南向 一室一厅 随时看房 有意者滴滴我哦,54,2700,50
巩华家园 朝南向 一室一厅 随时看房 有意者滴滴我哦,54,3000,55.55555556
兆丰家园 南北通透 两室一厅 随时看房 有意者滴滴我哟,86,3700,43.02325581
巩华家园(白楼) 朝南向 一室一厅 随时看房 有意者滴滴我哦,54,3000,55.55555556
巩华家园(白楼) 南北通透 三室一厅 随时看房 有意者滴滴我哦,125,4500,36
青年创业 朝南向 精装修 两室一厅 随时看房 有意者滴滴我哦,77,3700,48.05194805
兆丰家园 朝南向 一室一厅 随时入住 有意者滴滴我哦,54,2700,50
巩华家园 精装修 朝南向37平大开间 随时入住 有意者滴滴我哦,37,1600,43.24324324
"房东直租,南北通透正规地砖两局,包物业取暖,交通便利,",86,3800,44.18604651
巩华家园 朝南向 两室一厅 随时入住 有意者滴滴我哦,74,3500,47.2972973
"沙河出租正规3居室,房东直签,包物业取暖,家具家电齐全,",124,5000,40.32258065
巩华家园 39平开间 随时看房 无中介费 有意者滴滴我哦,39,2300,58.97435897
"兆丰家园出租正规精装主卧,家具家电齐全,包物业取暖,",74,3800,51.35135135
兆丰家园 精装修 南北通透 两室一厅 看房方便 有意者滴滴我哟,86,3700,43.02325581
兆丰家园 精装修 两室一厅 随时看房 有意者滴滴我哟,86,3700,43.02325581
兆丰家园 朝南向 两室一厅 看房方便 有意者滴滴我哦,74,3600,48.64864865
王庄工业园 朝南向 37平大开间 看房方便 有意者滴滴我哟,37,1500,40.54054054
北优 朝南向 精装修 两室一厅 看房方便 有意者滴滴我哦,77,3900,50.64935065
沙河 兆丰家园 巩华家园 收钥匙的房子,55,3200,58.18181818
巩华家园 朝南向 两室一厅 看房方便 有意者滴滴我呦,85,4000,47.05882353
"巩华家园出租正规朝南两居室,业主直签,包物业取暖,随时看房",86,4000,46.51162791
"小区巩华家园两室一居,清香袅袅,交通方便",86,3800,44.18604651
"家具家电齐全,入住方便。南北通透",85,3800,44.70588235
"沙河北优出租两居室,包物业取暖,家具家电齐全",94,3800,40.42553191
"翠湖湾出租正规精装大两居,家具家电齐全,包物业取暖。。随时看",80,3800,47.5
"昌平线沙河南侧精装大两居,拎包即住。",84,4300,51.19047619
沙河巩华家园正规南北通透两居室家电家具全齐,74,4000,54.05405405
翠湖湾 朝南向 精装修 两室一厅 有意者滴滴我呦,92,3800,41.30434783
沙河巩华家园东一村正规南北通透两居室房东直租家电家具全齐,86,4200,48.8372093
"高教新城,采光好,经典一居室,精装修,随时看房!",38,2800,73.68421053
"沙河出租精装大开间,包物业取暖,家具家电齐全随时看房",54,2300,42.59259259
"沙河王庄工业全甩租大开间,包物业取暖 ,随时看房,",32,1300,40.625
"沙河城铁出租正规一居,两居,三居,包物业取暖,家具家电齐",74,2800,37.83783784
"沙河出租正规两居电梯房,包物业取暖,中介费半价,仅此2天",86,3700,43.02325581
"沙河赋腾创客出租正规电梯,包物业取暖,无中介费",32,3200,100
"沙河王庄工业园出租朝南开间,包物业取暖,家具家电齐全",32,1300,40.625
"沙河城铁盛新开间,包物业取暖,家具家电齐全,随时入住",32,2300,71.875
"沙河城铁兆丰家园出租正规朝南两居,包物业取暖,家具家电齐",74,3700,50
"沙河城铁巩华家园出租正规一居室,家具家电齐全,包物业取暖",54,2700,50
"沙河城铁出租正规一居,两居,三居,包物业取暖,随时看房",86,3800,44.18604651
"沙河出租正规一居,两居,三居,家具家电齐全,包物业取暖",86,2800,32.55813953
"沙河出租正规一居,两居,三居,包物业取暖,家具家电齐全",54,2700,50
"沙河出租正规一居,两居,三居,包物业取暖,家具家电齐全",86,4000,46.51162791
"沙河甩租正规朝南两局,家具家电齐全,包物业取暖",74,3700,50
"沙河城铁出租正规两居室,包物业取暖,业主直签,随时看房",86,3800,44.18604651
"沙河城铁出租一居室,家电家具全齐,随时入住,随时看房",54,2800,51.85185185
"沙河出租正规一居,两居,三居,包物业取暖,家具家电齐全",86,4000,46.51162791
"沙河甩租正规朝南两局,家具家电齐全,包物业取暖",74,3700,50
"沙河城铁出租正规两居室,包物业取暖,业主直签,随时看房",86,3800,44.18604651
"沙河城铁出租一居室,家电家具全齐,随时入住,随时看房",54,2800,51.85185185
"沙河出租正规大三居,家具家电齐全,包物业暖,随时看房",125,5000,40
"沙河城铁西二村出租家电家具全齐随时入住,随时看房,",86,3800,44.18604651
"沙河城铁兆丰家园出租朝南两居,业主直签,家具家电齐全",74,4300,58.10810811
"沙河绿城雅居出租精装大两居带阁楼,包物业取暖,业主直签",90,3800,42.22222222
"沙河水岸庄园出租正规大两居,出租,全新家具家电",110,3100,28.18181818
沙河城铁王庄工业园正规精装大开间有钥匙随时看房,32,1700,53.125
"沙河城铁出租正规一居室,包物业取暖,家具家电齐全,",54,2700,50
"沙河水岸庄园甩租110平大两居,出租,家具家电全新",110,3300,30
"沙河出租出租精装大开间,家具家电齐全,包物业为取",34,1400,41.17647059
"沙河附近出租新房110平南北通透大两居,出租,全新家具家电",110,3300,30
"沙河附近水岸庄园便宜出租大两居,新房出租,全新家具家电,",110,3000,27.27272727
"沙河附近兆丰家园便宜出租朝南两局,家具家电齐全,包物业取暖",74,3900,52.7027027
"小汤山新小区阿苏卫出租,家具家电全新,价格便宜,随时看房",90,3000,33.33333333
"沙河附近出租新房110平南北通透大两居,出租,全新家具家电",110,3300,30
"沙河附近出租正规小区朝南一居室,家具家电齐全,走路5上地",52,3500,67.30769231
"沙河地铁附近巩华家园北二村出租正规朝南一居室,随时入住,随时",54,3500,64.81481481
"房东型装 真实照片 实地拍摄,包物业取暖,随时来电看房!",42,3000,71.42857143
此房8月10号到期 南北通透大三居 包物业取暖,110,4800,43.63636364
"沙河地铁站包物业取暖空调家电齐全,拎包入住。",86,4300,50
"沙河地铁站,拎包入住。包取暖,空调家电齐全,随时看房",86,4000,46.51162791
好房源北街家园八区开间 2400元出租,37,2400,64.86486486
冠芳园精装修两居包物业取暖随时看房,88,5000,56.81818182
回龙观冠芳园精装修两居包物业取暖随时看房8号线朱辛庄地铁,82,5000,60.97560976
冠芳园豆各庄精装修两居随时看房,90,5000,55.55555556
"房东型装修,实地拍摄 家电家具全齐 包物业取暖 有钥匙随时看",88,4500,51.13636364
"沙河地铁附近正规两居室,家具家电齐全",74,4000,54.05405405
"小汤山马路,出租新开盘小区,正规朝南两居,出租",92,3100,33.69565217
"沙河城铁附近巩华家园北二村出租正规一居室,家具家电齐全,",54,3500,64.81481481
沙河北街家园八区 精装修 家具家电齐全,35,2500,71.42857143
保利罗兰香谷 南北通透 包物业取暖 随时入住 有钥匙,100,4700,47
高教新城北街家园七区 精装跃层出租 随时看房入住,82,4500,54.87804878
"北街家园精装两居室,可以长期,随时看房",89,4500,50.56179775
"沙河附近一居室,两居室。家电家具齐全。随时入住",54,3400,62.96296296
好房源北街家园八区开间 2400元出租,37,2400,64.86486486
好房源北街家园八区开间 2400元出租,37,2400,64.86486486
值得一看北街家园二区南北大三居 两卫 简单家居,126,5000,39.68253968
"八区35平半地下1500出租,先到先得业主包物业取暖",37,1500,40.54054054
"沙河附近王庄工业园大开间,配套齐全",32,1500,46.875
"沙河高教园,精装大三居,全装速配,靠谱出租,随时看房",150,6000,40
"沙河北优出租正规南北两居室,业主直签,包物业取暖,家电全齐",86,3800,44.18604651
北街家园一区140平大三居 月付 正规小区合租 高教园地铁,140,2000,14.28571429
"高教新城,精装两居室,家电齐全,靠谱出租,随时看房",90,3800,42.22222222
"房东型装修,真实照片,实地拍摄,包物业取暖 随时入住",100,5300,53
"高教新城,精装两居,赠送面积大,家具齐全,房东好说话,靠谱出",90,3800,42.22222222
高教新城北街家园六区 精装开间朝东向 高楼层采光好 出租,26,2500,96.15384615
高教新城盛品园精装开间 出租干净整洁,26,2500,96.15384615
"沙河高教园 精装两居,家具齐全,房子干净,随时看房",90,3700,41.11111111
"沙河地铁附件正规一居室,家电家具齐全包物业取暖,拎包入住",54,3200,59.25925926
"沙河附近巩华白楼正规一居室家电家具齐全,包物业取暖,拎包入住",54,3100,57.40740741
"沙河附近赋腾大开间包物业取暖,随时看房随时拎包入住",34,2500,73.52941176
保利罗兰二期 南北通透 家电家具全齐 包物业取暖,100,4800,48
"沙河高教园,精装三居室,4部空调,全齐,随时看房,价位可谈",90,4000,44.44444444
北街家园八区 大两居 随时看房 随时入住,36,240,6.666666667
"沙河高教园,精装三居室,南北通透,配置齐全,诚心出租",90,4000,44.44444444
"沙河附近王庄工业园出租精装开间带小院,家具家电齐全,随时看房",32,1700,53.125
"沙河城铁附近出租兆丰家园出租正规一居室,家具家电齐全,",54,3200,59.25925926
"沙河附近正规小区翠湖湾出租正规精装两居室,家具家电齐全",90,4000,44.44444444
沙河高教园天朗园北街家园高教大楼附近精装开间出租,27,1600,59.25925926
"北街家园精装两居室,可以长期,随时看房",89,4500,50.56179775
北街家园七区简单装修随时入住包物业取暖,89,3500,39.3258427
好房源重磅推出北街家园八区1室精装修,35,2500,71.42857143
保利42平正规一居室 家电家具全齐 随时看房 包物业取暖,42,2900,69.04761905
保利罗兰香谷一期 正规两居 家电家具全齐 随时入住,86,4500,52.3255814
好房源北街家园六区南北通透 两居 地铁 交通便利,69,3800,55.07246377
好房源整租 精装修包物业取暖+价格4000可谈,87,4000,45.97701149
沙河高教园 精装两居室 全套家具 随时看房 价格可谈,90,3800,42.22222222
沙河附近两居室出租次卧包物业取暖家具家电齐全随时看房,74,1600,21.62162162
