房源名称,面积,租金
"首开智慧社两居包物业取暖可谈",120,7900
"0押金可月付地铁13号线回龙观",85,8000
"整租 首开智慧社精装大开间 交通便利 看房随时伶包入住",51,5140
"企赛推荐 首开智慧社 精装两居 干净整洁 温馨舒适",89,6000
"首开智慧社三室一厅二卫",132,12000
"整租 首开智慧社精装大开间 交通便利 看房随时伶包入住",51,5200
"首开智慧社 精装修大两居 看房随时",85,8500
"整租 首开智慧社 精装两居 配置齐全 交通便利 看房随时",83,7000
"首开智慧社三居包物业取暖",132,11500
"整租 首开智慧社精装大开间 交通便利 看房随时伶包入住",51,5100
"零押金月付 首开智慧社 楼下13号线回龙观站",85,7200
"押0付1 首开智慧社精装主卧 步行回龙观站 龙腾苑新龙城",18,2400
"租房 (0押金.可月付)开间 (13号线回龙观)包物业包取暖",50,4700
"首开智慧社两居",132,12000
"回龙观地铁 两居 龙博苑一区邻首开智慧社华联 龙腾苑四五六区",80,7000
"首开智慧社两居室,四家合租装修好,楼下华联,挨着回龙观地铁",3,2000
"企赛推荐 首开智慧社 精装两居 干净整洁 温馨舒适",89,6000
"回龙观13号地铁 首开智慧社正规 二室一厅一卫随时入住",89,7800
"企赛推荐 首开智慧社 精装两居 干净整洁 温馨舒适",89,6000
"首开智慧社新龙城龙腾苑龙跃苑 一居室 电梯房 13号线回龙观龙泽",52,4800
"租房(0押金,可月付)开间 (13号线回龙观)随时看房 包物业取",50,4100
"首开智慧社 精装修开间 13号线回龙观 方法开发入住好房",51,5000
"企赛推荐 首开智慧社 精装两居 干净整洁 温馨舒适",89,6000
"13号线 回龙观 首开智慧社 大开间真实图片电梯房包物业取暖",51,4800
"两居随时可看长签不",89,7800
"0押金可月付地铁13号线回龙观",85,8000
"首开智慧社二室一厅一卫",89,7800
"月付首开智慧社精装主卧独卫带阳台 地铁13号线回龙观站",140,3580
"首开智慧社 精装大开间 回龙观地铁站步行五 包物业取暖",41,4300
"企赛推荐 首开智慧社 精装两居 干净整洁 温馨舒适",89,6000
