房源名称,面积,租金
"龙泽苑东区 两居室 包物业取暖 一家人",105,7200
"城铁站 正规三居室 龙泽苑东区 步行七百米到13号线龙泽",100,6500
"回龙观 龙泽 龙泽苑东区 包物业取暖 两居室",108,7000
"龙泽苑东区西区新龙城 主卧独卫带阳台 0押金月付 13号线",25,3300
"龙泽苑西区出租南向主卧带卫生间,紧挨龙泽站!包物业取暖!",130,3800
"龙泽苑东区 精装一居 13号线龙泽回龙观 真实图片 随时看房",51,5000
"龙泽苑东区 1室1厅1卫 电梯房 包物业取暖 月付 13号线回龙观霍营",60,5500
"回龙观 龙泽 龙泽苑东区 电梯楼 一居室 包物业取暖",60,5200
"电梯房 精装一居室 龙泽苑西区 0押金月付 13号线龙泽地铁",60,5500
"龙泽苑 精装大次卧 电梯楼 0押金月付 13号线地铁龙泽站",15,2200
"龙泽苑东区,正规卧室,可月付房租,13号线地铁龙泽站",25,3200
"龙泽苑东区 电梯大四居室两卫 精装修 13号线龙泽地铁站",140,11500
"回龙观 西二旗 龙泽 龙泽苑东区 一居室 包物业取暖",56,5500
"龙泽苑包物业取暖 0押金.可月付 正规卧室 月度保洁 拎包入住",20,2500
"龙泽苑包物业取暖 押0付1 临13号线龙泽200米 拎包住",25,2500
"0押金月付 13号线 龙泽苑东区 朝南次卧 包物业取暖",125,2900
"地铁边,急租好房正规南向一居室 电梯房 包物业供暖 随时看",53,5000
"龙泽苑 精装大次卧 电梯楼 0押金月付 13号线地铁龙泽站",15,2400
"龙泽苑东区 两居室 包物业取暖 一家人",105,7200
"回龙观 龙泽 龙泽苑东区 包物业取暖 两居室",108,7000
"主卧独卫 电梯楼 0押金月付 龙泽苑东区 13号线地铁龙泽站",20,3500
"龙泽苑东区 三居两卫 包物业供暖 家具家电齐全",136,8600
"租房(0押金.可月付) 两居室 (13号线/8号线龙泽) 看房随时",110,7600
"龙泽苑 精装大次卧 电梯楼 包物业取暖 13号线地铁龙泽站",15,2400
"龙泽苑 主卧独卫带阳台 拎包入住",20,3000
"龙泽苑东区 一居室 包物业供暖 家具家电齐全 龙泽站",52,5300
"龙泽苑东区西区新龙城 主卧独卫带阳台 0押金月付 13号线",25,3300
"龙泽苑东区 一居精装修 随时看房入住 13号线龙泽回龙观好房",57,5200
"租房 0押金.可月付 龙泽苑东区 精装两居 13号线龙泽",110,7000
"龙泽苑东区 大两居 电梯房 业主直租 13号线回龙观新龙城龙腾龙跃",100,7500
"地铁边,急租好房正规南向一居室 电梯房 包物业供暖 随时看",53,5000
"龙泽苑东区 精装修 地铁13号线龙泽",20,2200
"龙泽苑东区 豪华单间出租,拎包入住",30,3600
