房源名称,面积,租金
"租房(0押金,可月付)一改二 (8号线平西府)随时看房",70,5700
"8号线城铁 精装两居室 可月付 田园风光西区龙回苑龙锦苑四区",98,6200
"龙锦苑四区 豪装三居 交通便利 家电齐全 可0押金月付 随时看房",121,5600
"龙锦苑四区 正规三居室 精装 八号线平西府站 低楼层适合家人",125,7600
"地铁边,急租好房正规南北通透大三居 业主出租 一家人合租均可",124,7800
"龙锦苑四区 正规两居室 可押0付1 地铁8号线平西府",94,6300
"龙锦苑四区 精装三居室 合租一家人即可 平西府地铁站",125,7500
"龙锦苑四区 精装 正规三居室 八号线平西府站 适合朋友合租",125,7500
"正规三居室 龙锦苑四区 可押0付1 地铁8号线平西府 随时看房",125,7500
"龙锦苑四区公园悦府国风美唐 两居室 真实图片 8号线平西府站",75,5500
"龙锦苑四区精装3居室 南北通透环境优美 交通便利拎包住",119,7800
"租房(特价房源)龙锦苑四区,三居室带小院(8号线平西府)",120,7899
"正规南北通透大三居 业主出租 一家人合租均可 随时看 随时住",124,7800
"龙锦苑四区精装3居室 南北通透环境优美 交通便利拎包住",119,7800
"精装修二层的两居室,适合老人,小区环境好",125,5400
"地铁8号线 龙锦苑四区 0押金可月付 精装修 随时看房",114,7000
"押0付1 龙锦苑四区 正规三居 8号线平西府站",120,7880
"8号线回龙观东大街站 龙锦苑东四区精装大三居家具齐全拎包入住",110,7800
"租房(0押金,可月付)半年次卧(8号线平西府)随时看房",15,1900
"8号线城铁 精装三居室 可月付 龙锦苑四区矩阵和谐家园 随时看",120,7800
"龙锦苑四区 温馨小两居室 装修没的说 合租优选 平西府 可月",85,5500
"回龙观霍营 龙锦苑四区 精装两居室 押0付1 随时入住可合租",95,6999
"龙锦苑四区 精装两居 新配家具家电 随时看房 0押月付",95,6000
"精装修二层的两居室,适合老人,小区环境好",125,5400
"租房(特价房源)龙锦苑四区,三居室(8号线平西府)",120,7400
"龙锦苑四区 合租 次卧25平米性别不限",25,2100
