房源名称,面积,租金
友家 · 北店嘉园4居室-南卧,15.4,2890
友家 · 北店嘉园3居室-南卧,14.5,2890
友家 · 北店嘉园5居室-南卧,12.6,2190
友家 · 北店嘉园4居室-南卧,15.3,3290
友家 · 北店嘉园3居室-南卧,16.5,2890
友家 · 北店嘉园3居室-南卧,14.5,2990
友家 · 北店嘉园4居室-北卧,11.6,2390
友家 · 北店嘉园4居室-北卧,10.1,2360
友家 · 北店嘉园6居室-南卧,12.5,2460
友家 · 北店嘉园3居室-南卧,18,2690
友家 · 北店嘉园3居室-北卧,9.3,2390
友家 · 北店嘉园3居室-南卧,14.9,2790
友家 · 北店嘉园3居室-南卧,18.7,2790
友家 · 北店嘉园4居室-南卧,14.8,3330
友家 · 北店嘉园4居室-南卧,15.3,3430
友家 · 北店嘉园3居室-北卧,9.3,2290
友家 · 北店嘉园3居室-南卧,14.6,2630
友家 · 北店嘉园3居室-北卧,9.3,2490
友家 · 北店嘉园4居室-南卧,15.4,2890
友家 · 北店嘉园3居室-南卧,14.5,2890
友家 · 北店嘉园5居室-南卧,12.6,2190
友家 · 北店嘉园4居室-南卧,15.3,3290
友家 · 北店嘉园3居室-南卧,16.5,2890
友家 · 北店嘉园3居室-南卧,14.5,2990
友家 · 北店嘉园4居室-北卧,11.6,2390
友家 · 北店嘉园4居室-北卧,10.1,2360
友家 · 北店嘉园6居室-南卧,12.5,2460
友家 · 北店嘉园3居室-南卧,18,2690
友家 · 北店嘉园3居室-北卧,9.3,2390
友家 · 北店嘉园3居室-南卧,14.9,2790
友家 · 北店嘉园3居室-南卧,18.7,2790
友家 · 北店嘉园4居室-南卧,14.8,3330
友家 · 北店嘉园4居室-南卧,15.3,3430
友家 · 北店嘉园3居室-北卧,9.3,2290
友家 · 北店嘉园3居室-南卧,14.6,2630
友家 · 北店嘉园3居室-北卧,9.3,2490
