房源名称,面积,租金
友家 · 流星花园三区4居室-南卧,16.3,2890
友家 · 流星花园三区3居室-南卧,13.4,2830
友家 · 流星花园三区4居室-西卧,17.5,2890
友家 · 流星花园三区4居室-南卧,17.9,3490
友家 · 流星花园三区4居室-北卧,8.8,2260
友家 · 流星花园三区4居室-北卧,8.8,2290
友家 · 流星花园三区4居室-南卧,16.5,3490
友家 · 流星花园三区4居室-南卧,15.4,3490
友家 · 流星花园三区4居室-南卧,16.6,3090
友家 · 流星花园三区4居室-南卧,16.6,3330
友家 · 流星花园三区3居室-北卧,13.2,2960
友家 · 流星花园三区3居室-北卧,11.5,2230
友家 · 流星花园三区4居室-北卧,6.7,2130
友家 · 流星花园三区3居室-北卧,10.3,1860
友家 · 流星花园三区4居室-南卧,22.4,2860
友家 · 流星花园三区3居室-南卧,13.4,2130
友家 · 流星花园三区4居室-北卧,9,2160
友家 · 流星花园三区3居室-北卧,14.3,2930
