房源名称,面积,租金,单平米租金
友家 · 北苑家园望春园3居室-南卧,8.3,2590,312.0481928
友家 · 北苑家园望春园3居室-南卧,10,3090,309
友家 · 北苑家园莲葩园4居室-南卧,12,2830,235.8333333
友家 · 北苑家园望春园4居室-南卧,20,3590,179.5
友家 · 北苑家园望春园4居室-南卧,20,3590,179.5
友家 · 华发颐园4居室-南卧,27,3860,142.962963
友家 · 北苑家园绣菊园4居室-南卧,12,2790,232.5
友家 · 华发颐园4居室-南卧,14,4530,323.5714286
友家 · 城锦苑3居室-南卧,10.1,2860,283.1683168
友家 · 城锦苑3居室-南卧,10.1,2890,286.1386139
友家 · 北苑家园清友园4居室-南卧,12,2590,215.8333333
友家 · 北苑家园茉藜园4居室-南卧,15.3,3960,258.8235294
友家 · 北苑家园清友园4居室-南卧,19.5,3290,168.7179487
友家 · 城锦苑3居室-南卧,10.1,2960,293.0693069
友家 · 北京青年城3居室-南卧,13.5,2830,209.6296296
友家 · 中国铁建国际城4居室-南卧,14.2,4260,300
友家 · 北苑家园望春园3居室-东卧,17,3190,187.6470588
友家 · 北苑家园清友园4居室-东南卧,11,2790,253.6363636
友家 · 城锦苑3居室-南卧,13.6,3160,232.3529412
友家 · 城锦苑3居室-南卧,13.6,3160,232.3529412
友家 · 北苑家园望春园3居室-南卧,10.3,2690,261.1650485
友家 · 北苑家园绣菊园南区3居室-西卧,8.5,2530,297.6470588
友家 · 城锦苑3居室-南卧,12.54,3160,251.9936204
友家 · 北苑家园望春园4居室-西卧,9.3,2690,289.2473118
友家 · 北苑家园望春园3居室-南卧,10.1,3030,300
友家 · 北苑家园清友园4居室-东卧,9,2690,298.8888889
友家 · 北苑家园望春园3居室-东卧,11.3,2690,238.0530973
友家 · 北苑家园望春园4居室-南卧,14.9,3960,265.7718121
友家 · 世华泊郡3居室-北卧,10,2590,259
友家 · 北苑家园望春园4居室-南卧,13.5,3860,285.9259259
友家 · 世华泊郡3居室-南卧,12,3090,257.5
友家 · 北苑家园望春园4居室-南卧,12.4,3860,311.2903226
友家 · 北苑家园清友园4居室-南卧,12.6,3830,303.968254
友家 · 北苑家园清友园4居室-南卧,18.8,3430,182.4468085
友家 · 北苑家园绣菊园4居室-南卧,14.9,3890,261.0738255
友家 · 新街坊4居室-南卧,20,3490,174.5
友家 · 新街坊4居室-南卧,20,3490,174.5
友家 · 中国铁建广场2居室-南卧,8.6,3290,382.5581395
友家 · 北苑家园茉藜园4居室-南卧,15,3590,239.3333333
友家 · 北苑家园莲葩园4居室-西卧,10,2490,249
友家 · 北苑家园清友园4居室-西卧,8,2730,341.25
友家 · 中国铁建国际城3居室-南卧,14.1,3360,238.2978723
友家 · 北苑家园茉藜园4居室-南卧,12.8,2990,233.59375
友家 · 城锦苑3居室-北卧,12.18,2990,245.4844007
友家 · 拂林园4居室-南卧,11.8,3290,278.8135593
友家 · 城锦苑3居室-北卧,11.47,2960,258.0645161
友家 · 北苑家园莲葩园3居室-西南卧,14.8,3190,215.5405405
友家 · 润泽悦溪5居室-西卧,8.6,2390,277.9069767
友家 · 北苑家园茉藜园4居室-北卧,11.5,2630,228.6956522
友家 · 拂林园4居室-南卧,16.5,4160,252.1212121
友家 · n次方3居室-西卧,6.9,2060,298.5507246
友家 · 城锦苑3居室-北卧,16.95,3260,192.3303835
友家 · 城锦苑3居室-北卧,16.95,3260,192.3303835
友家 · 城锦苑3居室-北卧,16.95,3230,190.560472
友家 · 北苑家园绣菊园3居室-西卧,11.8,2660,225.4237288
友家 · 万科星园3居室-东南卧,7.84,3060,390.3061224
友家 · 北苑家园茉藜园3居室-西卧,8,2330,291.25
友家 · 世华泊郡4居室-南卧,11.9,3660,307.5630252
友家 · 万科星园4居室-西南卧,24.74,4660,188.3589329
友家 · 中国铁建国际城4居室-南卧,16.5,4170,252.7272727
友家 · 北苑家园清友园4居室-南卧,24.5,3590,146.5306122
友家 · 万科星园3居室-南卧,38.7,5890,152.1963824
友家 · 北苑家园茉藜园3居室-东南卧,14.5,3860,266.2068966
友家 · 北苑家园茉藜园3居室-东卧,16,3330,208.125
友家 · 润泽公馆3居室-南卧,13.5,3870,286.6666667
友家 · 北苑家园茉藜园3居室-西南卧,13.2,3890,294.6969697
友家 · 北苑家园清友园3居室-东卧,18.6,3460,186.0215054
友家 · 北苑家园茉藜园3居室-北卧,14.9,3260,218.7919463
友家 · 北京青年城4居室-南卧,17.3,3590,207.5144509
友家 · 北京青年城4居室-南卧,17.5,3590,205.1428571
友家 · 北苑家园清友园4居室-西卧,14.5,3830,264.137931
友家 · 恒大书院3居室-南卧,9.6,2890,301.0416667
友家 · 北苑家园清友园4居室-北卧,12.7,2990,235.4330709
友家 · 拂林园4居室-东北卧,12.57,3230,256.9610183
友家 · 东洲家园3居室-南卧,11,2590,235.4545455
友家 · 万科星园3居室-东南卧,19.8,4390,221.7171717
友家 · 天润福熙大道4居室-南卧,30,3830,127.6666667
友家 · 筑华年3居室-南卧,14.3,2930,204.8951049
友家 · 华发颐园4居室-北卧,17,3560,209.4117647
友家 · 城锦苑3居室-北卧,21.3,3990,187.3239437
友家 · 润泽悦溪3居室-东卧,8.9,3160,355.0561798
友家 · 万科星园4居室-北卧,12.47,3660,293.5044106
友家 · 北苑家园清友园4居室-北卧,12,2690,224.1666667
友家 · 北苑家园茉藜园3居室-北卧,14.9,3190,214.0939597
友家 · 万科星园3居室-东南卧,14.5,3830,264.137931
友家 · 世华泊郡2居室-南卧,12.8,4770,372.65625
友家 · 筑华年3居室-南卧,17,3290,193.5294118
友家 · 北苑家园清友园4居室-南卧,14.9,3990,267.7852349
友家 · 中国铁建广场2居室-北卧,13.4,3660,273.1343284
友家 · 中国铁建广场2居室-北卧,13.2,3690,279.5454545
友家 · 筑华年3居室-南卧,11.5,3090,268.6956522
友家 · 东洲家园3居室-南卧,10.5,2560,243.8095238
友家 · 东洲家园3居室-南卧,11.4,2730,239.4736842
友家 · 中国铁建广场2居室-北卧,11.7,3630,310.2564103
友家 · 东洲家园3居室-南卧,10.5,2790,265.7142857
友家 · 北苑家园绣菊园南区3居室-西北卧,11.2,4170,372.3214286
友家 · 中国铁建广场2居室-北卧,9,3690,410
友家 · 中国铁建广场2居室-北卧,12,3830,319.1666667
友家 · 中国铁建广场2居室-北卧,11.4,3830,335.9649123
友家 · 中国铁建广场2居室-北卧,9.6,3830,398.9583333
友家 · 东洲家园3居室-东卧,10.6,2530,238.6792453
友家 · 润泽悦溪3居室-西卧,12.1,3860,319.0082645
友家 · 东洲家园3居室-东卧,11,2660,241.8181818
友家 · 北苑家园茉藜园3居室-东卧,18.86,3890,206.2566278
友家 · 东洲家园3居室-西卧,11,2530,230
友家 · 东洲家园3居室-西卧,10.6,2660,250.9433962
友家 · 东洲家园3居室-北卧,9.6,2660,277.0833333
友家 · 北苑家园莲葩园3居室-南卧,12,2590,215.8333333
友家 · 北苑家园望春园4居室-南卧,27.5,3660,133.0909091
友家 · 北苑家园茉藜园3居室-东卧,9.6,2490,259.375
友家 · 安外北苑2号院6居室-南卧,23.04,3160,137.1527778
友家 · 北苑家园望春园4居室-南卧,22.6,3230,142.920354
友家 · 北京青年城3居室-南卧,18.1,3090,170.718232
友家 · 北苑家园茉藜园3居室-西卧,9.5,2630,276.8421053
友家 · 旭辉奥都3居室-南卧,11.8,2970,251.6949153
友家 · 北苑家园莲葩园3居室-南卧,18,3190,177.2222222
友家 · 安外北苑2号院6居室-南卧,29.59,3560,120.3109158
友家 · 北苑家园望春园4居室-北卧,8.7,2590,297.7011494
友家 · 北苑家园望春园4居室-南卧,17.5,3160,180.5714286
友家 · 安外北苑2号院6居室-北卧,18.34,2860,155.9432933
友家 · 安外北苑2号院6居室-西卧,9.77,2560,262.0266121
友家 · 旭辉奥都3居室-南卧,11,2860,260
友家 · 北苑家园望春园4居室-南卧,16.5,3890,235.7575758
友家 · 北苑家园望春园4居室-北卧,11.9,2790,234.4537815
友家 · 新街坊4居室-南卧,28,3590,128.2142857
友家 · 安外北苑2号院6居室-北卧,18.34,2960,161.3958561
友家 · 拂林园4居室-南卧,10,2930,293
友家 · 华发颐园4居室-南卧,16,3990,249.375
友家 · 北京青年城3居室-北卧,19.3,3160,163.7305699
友家 · 北苑家园茉藜园3居室-东卧,12,3290,274.1666667
友家 · 北苑家园茉藜园4居室-北卧,8,2290,286.25
友家 · 鑫兆丽园4居室-南卧,18,2970,165
友家 · 润泽悦溪5居室-南卧,7.6,2590,340.7894737
友家 · 北京青年城3居室-北卧,9,2490,276.6666667
友家 · 北京青年城3居室-南卧,13.9,3060,220.1438849
友家 · 北京青年城3居室-东北卧,10.2,2590,253.9215686
友家 · 筑华年3居室-南卧,12.5,2930,234.4
友家 · 世华泊郡4居室-北卧,10.5,2460,234.2857143
友家 · 安外北苑2号院6居室-西卧,22.18,3360,151.4878269
友家 · 北苑家园茉藜园4居室-南卧,13.3,3560,267.6691729
友家 · 朝来绿色家园广华居4居室-西卧,12.5,2460,196.8
友家 · 北苑家园茉藜园3居室-西南卧,18,3290,182.7777778
友家 · 北苑家园茉藜园4居室-南卧,20,3360,168
友家 · 北苑家园莲葩园3居室-东南卧,15,3960,264
友家 · 世华泊郡4居室-北卧,8.87,2460,277.3393461
友家 · 天畅园3居室-南卧,14,3360,240
友家 · 北苑家园莲葩园3居室-西卧,7.1,2490,350.7042254
友家 · 新街坊4居室-北卧,7.5,2330,310.6666667
友家 · 北苑家园茉藜园4居室-北卧,11.5,2690,233.9130435
友家 · 华贸城4居室-北卧,11.9,2830,237.8151261
