房源名称,面积,租金,单平米租金
友家 · 朱辛庄北区4居室-南卧,13.6,2590,190.4411765
友家 · 云趣园一区3居室-南卧,15.4,2890,187.6623377
友家 · 流星花园三区4居室-南卧,16.3,2890,177.3006135
友家 · 龙禧苑二区5居室-南卧,17.3,2790,161.2716763
友家 · 云趣园三区4居室-南卧,12.5,2690,215.2
友家 · 矩阵一期4居室-南卧,8.2,2690,328.0487805
友家 · 北店嘉园4居室-南卧,15.4,2890,187.6623377
友家 · 龙禧苑五区4居室-南卧,8.9,2590,291.011236
友家 · 云趣园三区4居室-南卧,11.9,2690,226.0504202
友家 · 新龙城4居室-南卧,11.5,2990,260
友家 · 七燕路1号院3居室-南卧,10.6,2560,241.509434
友家 · 七燕路1号院3居室-南卧,10.9,2430,222.9357798
友家 · 七燕路1号院3居室-南卧,10.2,2490,244.1176471
友家 · 七燕路1号院3居室-南卧,10.7,2460,229.9065421
友家 · 七燕路1号院3居室-南卧,10.6,2430,229.245283
友家 · 七燕路1号院3居室-南卧,10.6,2490,234.9056604
友家 · 新龙城4居室-南卧,9.9,2590,261.6161616
友家 · 田园风光雅苑4居室-南卧,14.5,2830,195.1724138
友家 · TBD住总万科天地3居室-南卧,10.2,2290,224.5098039
友家 · 新龙城4居室-南卧,12.4,2930,236.2903226
友家 · 朱辛庄南区4居室-南卧,8.6,2060,239.5348837
友家 · 龙禧苑一区4居室-南卧,21.5,2790,129.7674419
友家 · 龙禧苑二区5居室-南卧,20.8,2590,124.5192308
友家 · 北店嘉园3居室-南卧,14.5,2890,199.3103448
友家 · 七燕路1号院3居室-南卧,10.9,2530,232.1100917
友家 · 流星花园三区3居室-南卧,13.4,2830,211.1940299
友家 · TBD住总万科天地3居室-南卧,9.5,2190,230.5263158
友家 · TBD住总万科天地3居室-南卧,9.5,2190,230.5263158
友家 · 云趣园二区4居室-南卧,11.9,2490,209.2436975
友家 · 新龙城4居室-南卧,9,2590,287.7777778
友家 · TBD住总万科天地3居室-南卧,10.2,2390,234.3137255
友家 · 流星花园二区3居室-南卧,18.2,2990,164.2857143
友家 · 新龙城4居室-南卧,9,2490,276.6666667
友家 · TBD住总万科天地3居室-南卧,10.2,2290,224.5098039
友家 · TBD住总万科天地3居室-南卧,10.2,2290,224.5098039
友家 · 朱辛庄南区3居室-南卧,14.4,2590,179.8611111
友家 · TBD住总万科天地3居室-南卧,10.2,2290,224.5098039
友家 · TBD住总万科天地3居室-南卧,10.2,2290,224.5098039
友家 · 天慧园3居室-南卧,12.23,2830,231.3982011
友家 · 龙跃苑二区4居室-南卧,28.4,3290,115.8450704
友家 · 朱辛庄北区4居室-北卧,11,2090,190
友家 · 新龙城5居室-南卧,17.8,2830,158.988764
友家 · 田园风光雅苑4居室-南卧,16,3390,211.875
友家 · 朱辛庄北区4居室-南卧,12.87,3090,240.0932401
友家 · 朱辛庄南区3居室-南卧,13.2,2530,191.6666667
友家 · TBD住总万科天地3居室-南卧,9.5,2290,241.0526316
友家 · TBD住总万科天地3居室-南卧,9.5,2290,241.0526316
友家 · TBD住总万科天地3居室-南卧,9.5,2290,241.0526316
友家 · TBD住总万科天地3居室-南卧,9.5,2290,241.0526316
友家 · TBD住总万科天地3居室-南卧,9.5,2290,241.0526316
友家 · TBD住总万科天地3居室-南卧,9.5,2290,241.0526316
友家 · 豆各庄小区3居室-南卧,14.1,2230,158.1560284
友家 · 七燕路1号院3居室-南卧,11.8,2290,194.0677966
友家 · 云趣园三区4居室-南卧,9.4,2390,254.2553191
友家 · 流星花园二区3居室-南卧,26,3090,118.8461538
友家 · 新龙城4居室-南卧,12.5,3190,255.2
友家 · 天露园一区3居室-南卧,12.6,2490,197.6190476
友家 · 豆各庄小区3居室-南卧,13.3,2290,172.1804511
友家 · 龙博苑二区3居室-南卧,17.8,3190,179.2134831
友家 · 龙禧苑二区5居室-南卧,16,2590,161.875
友家 · 龙兴园北区3居室-南卧,12.15,2490,204.9382716
友家 · 领秀慧谷B区3居室-南卧,13,2790,214.6153846
友家 · 云趣园一区4居室-南卧,17.5,3390,193.7142857
友家 · 七燕路1号院3居室-南卧,11.75,2390,203.4042553
友家 · 七燕路1号院3居室-南卧,11.3,2360,208.8495575
友家 · TBD住总万科天地3居室-南卧,9.6,2390,248.9583333
友家 · TBD住总万科天地3居室-南卧,11.8,2460,208.4745763
友家 · TBD住总万科天地3居室-南卧,11.8,2460,208.4745763
友家 · 七燕路1号院3居室-南卧,11.75,2390,203.4042553
友家 · TBD住总万科天地3居室-南卧,9.6,2390,248.9583333
友家 · 七燕路1号院3居室-南卧,11.6,2390,206.0344828
友家 · TBD住总万科天地3居室-南卧,9.6,2390,248.9583333
友家 · 七燕路1号院3居室-南卧,11.6,2390,206.0344828
友家 · 和谐家园二区4居室-北卧,11.4,2390,209.6491228
友家 · 七燕路1号院3居室-南卧,11.4,2290,200.877193
友家 · 北京人家4居室-南卧,15.7,2730,173.8853503
友家 · 云趣园一区4居室-南卧,10,2390,239
友家 · 龙回苑3居室-南卧,19.8,2890,145.959596
友家 · 风雅园三区4居室-南卧,15.1,2690,178.1456954
友家 · 龙回苑3居室-南卧,14.6,3490,239.0410959
友家 · 龙博苑三区3居室-南卧,17.8,3190,179.2134831
友家 · TBD住总万科天地3居室-南卧,12.5,2590,207.2
友家 · 国仕汇4居室-南卧,12.3,2590,210.5691057
友家 · 京投银泰公园悦府3居室-南卧,11,2330,211.8181818
友家 · TBD住总万科天地3居室-南卧,12,2490,207.5
友家 · TBD住总万科天地3居室-南卧,12.5,2490,199.2
友家 · TBD住总万科天地3居室-南卧,12,2490,207.5
友家 · TBD住总万科天地3居室-南卧,12,2490,207.5
友家 · TBD住总万科天地3居室-南卧,12.5,2490,199.2
友家 · 云趣园三区4居室-南卧,10.1,2490,246.5346535
友家 · 龙禧苑二区5居室-南卧,20.8,2760,132.6923077
友家 · TBD住总万科天地3居室-南卧,9.6,2490,259.375
友家 · 七燕路1号院3居室-南卧,9.9,2290,231.3131313
友家 · 七燕路1号院3居室-南卧,9.9,2290,231.3131313
友家 · TBD住总万科天地3居室-南卧,11.8,2590,219.4915254
友家 · TBD住总万科天地3居室-南卧,11.8,2590,219.4915254
友家 · TBD住总万科天地3居室-南卧,11.1,2560,230.6306306
友家 · 龙腾苑四区5居室-南卧,15.3,3190,208.496732
