房源名称,面积,租金,单平米租金
友家 · 天通西苑三区4居室-南卧,25,3230,129.2
友家 · 天通西苑三区4居室-南卧,28.3,2990,105.6537102
友家 · 天通西苑三区4居室-南卧,28,2960,105.7142857
友家 · 天通苑中苑4居室-南卧,11.8,2430,205.9322034
友家 · 天通苑本三区4居室-南卧,25.9,2890,111.5830116
友家 · 天通西苑二区5居室-南卧,24,3290,137.0833333
友家 · 天通苑中苑4居室-南卧,14.2,2630,185.2112676
友家 · 天通苑北一区4居室-南卧,11.1,2590,233.3333333
友家 · 天通西苑一区6居室-南卧,16.5,3190,193.3333333
友家 · 天通苑北二区5居室-南卧,17.8,2930,164.6067416
友家 · 天通苑北二区5居室-南卧,11.9,2260,189.9159664
友家 · 天通西苑一区4居室-南卧,32.2,3330,103.4161491
友家 · 天通西苑一区4居室-南卧,14.9,2830,189.9328859
友家 · 天通苑中苑4居室-南卧,14.3,2960,206.993007
友家 · 天通西苑三区4居室-东卧,22.7,3190,140.5286344
友家 · 天通苑北一区4居室-北卧,21.2,3090,145.754717
友家 · 天通苑中苑4居室-南卧,24.9,2890,116.064257
友家 · 天通苑东三区3居室-南卧,12.5,2390,191.2
友家 · 天通西苑三区4居室-南卧,25,3230,129.2
友家 · 天通西苑三区4居室-南卧,28.3,2990,105.6537102
友家 · 天通西苑三区4居室-南卧,28,2960,105.7142857
友家 · 天通苑中苑4居室-南卧,11.8,2430,205.9322034
友家 · 天通苑本三区4居室-南卧,25.9,2890,111.5830116
友家 · 天通西苑二区5居室-南卧,24,3290,137.0833333
友家 · 天通苑中苑4居室-南卧,14.2,2630,185.2112676
友家 · 天通苑北一区4居室-南卧,11.1,2590,233.3333333
友家 · 天通西苑一区6居室-南卧,16.5,3190,193.3333333
友家 · 天通苑北二区5居室-南卧,17.8,2930,164.6067416
友家 · 天通苑北二区5居室-南卧,11.9,2260,189.9159664
友家 · 天通西苑一区4居室-南卧,32.2,3330,103.4161491
友家 · 天通西苑一区4居室-南卧,14.9,2830,189.9328859
友家 · 天通苑中苑4居室-南卧,14.3,2960,206.993007
友家 · 天通西苑三区4居室-东卧,22.7,3190,140.5286344
友家 · 天通苑北一区4居室-北卧,21.2,3090,145.754717
友家 · 天通苑中苑4居室-南卧,24.9,2890,116.064257
友家 · 天通苑东三区3居室-南卧,12.5,2390,191.2
友家 · 天通苑北一区4居室-南卧,18.2,3590,197.2527473
友家 · 天通西苑二区4居室-南卧,25,3290,131.6
友家 · 天通西苑三区4居室-西卧,10.6,2890,272.6415094
友家 · 天通苑北三区3居室-南卧,13.3,2690,202.2556391
友家 · 天通苑东三区5居室-南卧,20.72,2630,126.9305019
友家 · 天通苑北二区5居室-南卧,15.6,2560,164.1025641
友家 · 天通苑本三区5居室-南卧,12.6,2590,205.5555556
友家 · 天通西苑一区4居室-南卧,26.5,4960,187.1698113
友家 · 天通苑北一区4居室-南卧,7,2360,337.1428571
友家 · 天通苑北一区4居室-南卧,7,2360,337.1428571
友家 · 天通西苑三区4居室-西卧,20.6,3190,154.8543689
友家 · 天通西苑三区4居室-北卧,10.9,2490,228.440367
友家 · 西湖新村3居室-南卧,17,2190,128.8235294
友家 · 东亚奥北中心北区3居室-南卧,14.1,3260,231.2056738
友家 · 天通西苑一区6居室-南卧,14.8,3490,235.8108108
友家 · 天通西苑三区4居室-南卧,17.7,3690,208.4745763
友家 · 天通苑北二区5居室-南卧,13.9,2590,186.3309353
友家 · 天通苑北二区3居室-南卧,17.4,3260,187.3563218
友家 · 天通苑北二区5居室-南卧,17.4,3290,189.0804598
友家 · 天通苑北二区4居室-北卧,16,2790,174.375
