房源名称,面积,租金,单平米租金
友家 · 新悦家园4居室-南卧,23.8,1990,83.61344538
友家 · 燕平家园3居室-南卧,12.8,1960,153.125
友家 · 新悦家园4居室-南卧,12,2290,190.8333333
友家 · 南环里3居室-南卧,22.1,2190,99.09502262
友家 · 北一街8号4居室-南卧,29.4,2230,75.85034014
友家 · 北一街8号4居室-南卧,24.5,2690,109.7959184
友家 · 润杰经典创新园3居室-南卧,12,1930,160.8333333
友家 · 东关南里小区3居室-南卧,17.6,2090,118.75
友家 · 京科苑3居室-南卧,12.1,1890,156.1983471
友家 · 燕平家园3居室-南卧,11.7,1860,158.974359
友家 · 新悦家园3居室-南卧,16.1,2260,140.3726708
友家 · 新悦家园4居室-南北卧,14.3,1930,134.965035
友家 · 建明里小区3居室-南卧,20.5,2790,136.097561
友家 · 西环里3居室-南卧,16.3,1790,109.8159509
友家 · 豆各庄小区3居室-南卧,13.9,2290,164.7482014
友家 · 南环里3居室-南卧,20.9,2190,104.784689
友家 · 东关北里小区3居室-南卧,14.8,2390,161.4864865
友家 · 东关南里小区3居室-南卧,14.8,2490,168.2432432
友家 · 豆各庄小区3居室-南卧,13.3,2290,172.1804511
友家 · 南环里3居室-东卧,14,1890,135
友家 · 北街家园一区3居室-北卧,17,2090,122.9411765
友家 · 东关南里小区4居室-南卧,14.8,2130,143.9189189
友家 · 白各庄新村4居室-南卧,26.1,2290,87.7394636
友家 · 东关南里小区3居室-南卧,15.3,1790,116.9934641
友家 · 北街家园一区3居室-南卧,10,1930,193
友家 · 京科苑4居室-北卧,11.2,1890,168.75
友家 · 润杰经典创新园3居室-南卧,12.6,1790,142.0634921
友家 · 润杰经典创新园3居室-南卧,13.1,1790,136.6412214
友家 · 燕平家园3居室-北卧,9.8,1760,179.5918367
友家 · 京科苑3居室-南卧,9.2,1790,194.5652174
友家 · 润杰经典创新园3居室-北卧,8.3,1690,203.6144578
友家 · 东关北里小区3居室-南卧,15.5,1730,111.6129032
友家 · 保利罗兰香谷3居室-南卧,12.7,2030,159.8425197
友家 · 北街家园五区3居室-南卧,14,2090,149.2857143
友家 · 北街家园一区4居室-南卧,8,1830,228.75
友家 · 南环里3居室-北卧,10.3,1790,173.7864078
友家 · 润杰经典创新园3居室-北卧,8.3,1690,203.6144578
友家 · 保利罗兰香谷3居室-南卧,12.7,2030,159.8425197
友家 · 南环里3居室-北卧,10.3,1790,173.7864078
友家 · 东关南里小区3居室-北卧,10.2,1790,175.4901961
友家 · 东关南里小区3居室-北卧,9.8,1690,172.4489796
友家 · 京科苑3居室-南卧,10.3,1760,170.8737864
友家 · 润杰经典创新园4居室-北卧,9.8,1560,159.1836735
友家 · 白各庄新村3居室-南卧,11.6,1830,157.7586207
友家 · 豆各庄小区5居室-北卧,10.7,1960,183.1775701
友家 · 清秀园南区4居室-南卧,13.5,1790,132.5925926
友家 · 豆各庄小区3居室-北卧,15.1,2090,138.410596
友家 · 北街家园一区3居室-北卧,17,2090,122.9411765
友家 · 北街家园六区3居室-东卧,10,1860,186
友家 · 北街家园六区3居室-东卧,19.1,2290,119.895288
友家 · 润杰经典创新园3居室-南卧,12.6,1790,142.0634921
友家 · 北街家园六区3居室-东卧,8.7,1730,198.8505747
友家 · 北街家园七区3居室-西卧,8.2,1760,214.6341463
友家 · 润杰经典创新园3居室-北卧,8.3,1690,203.6144578
友家 · 北街家园一区4居室-南卧,15,2130,142
友家 · 新悦家园4居室-南卧,16.8,2290,136.3095238
友家 · 御路园3居室-南卧,10.7,1590,148.5981308
友家 · 永安里小区3居室-南卧,12.9,2290,177.5193798
友家 · 北街家园一区4居室-南卧,8,1830,228.75
友家 · 北街家园一区4居室-南卧,16,2690,168.125
友家 · 石坊院3居室-南卧,21.1,2290,108.5308057
友家 · 新悦家园3居室-南卧,12.9,1960,151.9379845
友家 · 永安里小区3居室-西卧,15.4,1890,122.7272727
友家 · 恒大幸福家园4居室-南卧,12,2490,207.5
友家 · 润杰经典创新园4居室-南卧,16.4,2530,154.2682927
友家 · 东关南里小区4居室-南卧,14.8,2130,143.9189189
友家 · 白各庄新村4居室-南卧,26.1,2290,87.7394636
友家 · 恒大幸福家园4居室-南卧,15,2290,152.6666667
友家 · 御路园3居室-北卧,11.9,1490,125.210084
友家 · 御路园3居室-北卧,9.7,1430,147.4226804
友家 · 永安里小区3居室-北卧,11.9,1590,133.6134454
友家 · 豆各庄小区3居室-南卧,14.4,2690,186.8055556
友家 · 北街家园七区4居室-南卧,9.5,2370,249.4736842
友家 · 新新公寓4居室-北卧,13.5,1790,132.5925926
友家 · 北街家园一区4居室-北卧,8,1730,216.25
友家 · 恒大幸福家园4居室-北卧,10,1830,183
友家 · 新悦家园4居室-北卧,12,1590,132.5
友家 · 东关北里小区3居室-南卧,15.5,1730,111.6129032
友家 · 恒大幸福家园7号院3居室-南卧,15.2,1730,113.8157895
友家 · 恒大幸福家园4居室-北卧,10,1790,179
友家 · 京科苑3居室-北卧,11.6,1490,128.4482759
友家 · 恒大幸福家园3居室-西卧,7.3,1330,182.1917808
友家 · 北街家园八区2居室-东卧,10,3090,309
