房源名称,面积,租金,单平米租金
友家 · 和谐家园一区4居室-南卧,16.6,3490,210.2409639
友家 · 和谐家园一区4居室-北卧,10,2330,233
友家 · 和谐家园一区4居室-南卧,16.6,3390,204.2168675
友家 · 和谐家园一区4居室-北卧,11.2,2390,213.3928571
友家 · 和谐家园一区4居室-北卧,10,2330,233
友家 · 和谐家园一区4居室-南卧,25.5,3090,121.1764706
友家 · 和谐家园一区4居室-北卧,10.1,2360,233.6633663
友家 · 和谐家园一区4居室-南卧,17.5,3390,193.7142857
友家 · 和谐家园一区4居室-北卧,11.4,2390,209.6491228
友家 · 和谐家园一区4居室-北卧,10.1,2330,230.6930693
友家 · 和谐家园一区4居室-南卧,23,2990,130
友家 · 和谐家园一区4居室-北卧,12,2290,190.8333333
友家 · 和谐家园一区4居室-北卧,11,2260,205.4545455
友家 · 和谐家园一区4居室-南卧,16,3390,211.875
友家 · 和谐家园一区4居室-南卧,16.5,3090,187.2727273
