房源位置,面积,租金,单平米租金
距13号线北苑站650米,52,8090,155.5769231
距13号线北苑站2300米,13,2430,186.9230769
距13号线北苑站2300米,15,2490,166
距5号线北苑路北站1200米,10,3290,329
距5号线北苑路北站1200米,10,3190,319
距5号线北苑路北站1200米,9,3190,354.4444444
距5号线北苑路北站1350米,13,2860,220
距13号线北苑站2300米,9,2090,232.2222222
距13号线北苑站550米,16,3460,216.25
距13号线北苑站950米,16,3190,199.375
距5号线北苑路北站1200米,12,3490,290.8333333
距5号线北苑路北站1200米,77,6860,89.09090909
距13号线北苑站2300米,13,2260,173.8461538
距13号线北苑站550米,18,3490,193.8888889
距13号线北苑站550米,17,3430,201.7647059
距5号线北苑路北站550米,13,3190,245.3846154
距5号线北苑路北站550米,26,4530,174.2307692
距5号线北苑路北站550米,23,3890,169.1304348
距5号线北苑路北站550米,14,3390,242.1428571
距13号线北苑站2300米,13,2630,202.3076923
距13号线北苑站2300米,13,2530,194.6153846
距13号线北苑站2300米,13,2630,202.3076923
距13号线北苑站550米,64,5960,93.125
距13号线北苑站550米,12,2490,207.5
距5号线北苑路北站600米,14,2660,190
