房源位置,面积,租金,单平米租金
距8号线回龙观东大街站1050米,13,2530,194.6153846
距8号线回龙观东大街站1050米,22,3490,158.6363636
距8号线回龙观东大街站1050米,13,2490,191.5384615
距8号线回龙观东大街站1050米,22,3290,149.5454545
距8号线回龙观东大街站1050米,13,2390,183.8461538
距8号线回龙观东大街站950米,12,2890,240.8333333
距8号线回龙观东大街站950米,9,2390,265.5555556
距8号线回龙观东大街站950米,9,2390,265.5555556
距8号线回龙观东大街站950米,17,2990,175.8823529
距8号线回龙观东大街站650米,12,2690,224.1666667
距8号线回龙观东大街站650米,12,2630,219.1666667
距8号线回龙观东大街站650米,12,2630,219.1666667
距8号线回龙观东大街站1400米,19,3390,178.4210526
距8号线回龙观东大街站200米,13,2960,227.6923077
距13号线回龙观站250米,14,3330,237.8571429
距8号线回龙观东大街站1400米,18,2890,160.5555556
距8号线回龙观东大街站1400米,11,2430,220.9090909
距8号线回龙观东大街站1400米,19,2830,148.9473684
距8号线回龙观东大街站1400米,11,2460,223.6363636
距8号线回龙观东大街站1050米,22,3530,160.4545455
距8号线回龙观东大街站1050米,25,3130,125.2
距8号线回龙观东大街站1400米,17,2860,168.2352941
距8号线回龙观东大街站1050米,24,3560,148.3333333
距8号线回龙观东大街站1400米,17,2860,168.2352941
距8号线回龙观东大街站1400米,11,2360,214.5454545
距8号线回龙观东大街站1100米,16,2790,174.375
距8号线回龙观东大街站1050米,22,3360,152.7272727
距8号线回龙观东大街站1050米,13,2390,183.8461538
距13号线回龙观站700米,16,3090,193.125
距13号线回龙观站700米,18,3290,182.7777778
距13号线回龙观站700米,12,2790,232.5
距8号线回龙观东大街站1400米,15,2630,175.3333333
距8号线回龙观东大街站1050米,13,2490,191.5384615
距8号线回龙观东大街站950米,13,2390,183.8461538
距8号线回龙观东大街站950米,13,2390,183.8461538
距8号线回龙观东大街站950米,22,3290,149.5454545
距8号线回龙观东大街站950米,23,2790,121.3043478
距8号线回龙观东大街站1400米,16,2760,172.5
距8号线回龙观东大街站950米,13,2390,183.8461538
距8号线回龙观东大街站950米,17,2690,158.2352941
距8号线回龙观东大街站1400米,16,2790,174.375
距8号线回龙观东大街站1400米,11,2390,217.2727273
距8号线回龙观东大街站1400米,12,2490,207.5
距8号线回龙观东大街站1400米,23,3490,151.7391304
距8号线回龙观东大街站1400米,11,2390,217.2727273
距8号线回龙观东大街站1400米,14,2560,182.8571429
距8号线回龙观东大街站200米,11,2890,262.7272727
距8号线回龙观东大街站200米,16,3160,197.5
距8号线回龙观东大街站200米,14,3060,218.5714286
距8号线回龙观东大街站1050米,13,2390,183.8461538
距13号线回龙观站250米,15,3030,202
距8号线回龙观东大街站650米,25,2760,110.4
距8号线回龙观东大街站650米,17,2560,150.5882353
距8号线回龙观东大街站650米,13,2290,176.1538462
距8号线回龙观东大街站650米,13,2290,176.1538462
距13号线回龙观站350米,15,2760,184
距13号线回龙观站650米,22,3190,145
距13号线回龙观站400米,22,3160,143.6363636
距13号线回龙观站400米,17,2990,175.8823529
距13号线回龙观站400米,15,2730,182
距13号线回龙观站400米,12,2590,215.8333333
距8号线回龙观东大街站450米,12,2460,205
距8号线回龙观东大街站1100米,13,2530,194.6153846
距8号线回龙观东大街站1400米,24,3490,145.4166667
