房源位置,面积,租金,单平米租金
距5号线天通苑北站3800米,18,1990,110.5555556
距5号线天通苑北站3800米,18,2430,135
距5号线天通苑北站3850米,11,1690,153.6363636
距5号线天通苑北站3850米,14,1990,142.1428571
距5号线天通苑北站3850米,16,2290,143.125
距5号线天通苑北站3850米,17,2390,140.5882353
距5号线天通苑北站3850米,17,2090,122.9411765
距5号线天通苑北站3850米,13,1790,137.6923077
距5号线天通苑北站3850米,17,2090,122.9411765
距5号线天通苑北站3850米,11,1690,153.6363636
距5号线天通苑北站3850米,13,1890,145.3846154
距5号线天通苑北站3850米,11,1690,153.6363636
距5号线天通苑北站3850米,11,1690,153.6363636
距5号线天通苑北站3850米,14,1890,135
距5号线天通苑北站3900米,11,1790,162.7272727
距5号线天通苑北站3900米,17,2090,122.9411765
距5号线天通苑北站3850米,12,1890,157.5
距5号线天通苑北站3850米,10,1690,169
距5号线天通苑北站3850米,16,2090,130.625
距5号线天通苑北站3850米,18,2090,116.1111111
距5号线天通苑北站3850米,11,1790,162.7272727
距5号线天通苑北站3900米,11,1790,162.7272727
距5号线天通苑北站3900米,17,2090,122.9411765
距5号线天通苑北站3900米,17,1890,111.1764706
距5号线天通苑北站3900米,12,1790,149.1666667
距5号线天通苑北站3900米,19,2090,110
距5号线天通苑北站4800米,48,2790,58.125
距17号线未来科技城北站4000米,14,1890,135
距17号线未来科技城北站4000米,15,2390,159.3333333
距5号线天通苑站1300米,10,2490,249
距5号线天通苑北站4550米,15,1960,130.6666667
距5号线天通苑站1700米,23,3390,147.3913043
距5号线天通苑站1700米,20,2830,141.5
距5号线天通苑北站2500米,17,2390,140.5882353
距5号线天通苑站1700米,29,3060,105.5172414
距5号线天通苑站1300米,19,3230,170
距5号线天通苑站1300米,15,2690,179.3333333
距5号线天通苑站1300米,22,3830,174.0909091
距5号线天通苑站1700米,24,3060,127.5
距5号线天通苑站350米,15,3190,212.6666667
距5号线天通苑南站1050米,12,2260,188.3333333
距5号线天通苑南站2250米,16,2490,155.625
距5号线天通苑南站2250米,23,2760,120
距5号线天通苑站1000米,23,3860,167.826087
距5号线天通苑南站1650米,30,3530,117.6666667
距5号线天通苑站1700米,23,2860,124.3478261
距5号线天通苑北站2650米,21,2890,137.6190476
距5号线天通苑北站4550米,19,1990,104.7368421
距5号线天通苑南站150米,12,2390,199.1666667
距5号线天通苑南站2250米,23,2490,108.2608696
距5号线天通苑南站1650米,30,3790,126.3333333
距5号线天通苑站350米,17,2890,170
距5号线天通苑南站1650米,20,2490,124.5
距5号线天通苑南站2250米,11,2060,187.2727273
距5号线天通苑北站3850米,13,1960,150.7692308
距5号线天通苑北站3850米,18,2230,123.8888889
距5号线天通苑北站3900米,11,1830,166.3636364
距5号线天通苑北站3900米,17,2160,127.0588235
距5号线天通苑北站3900米,17,2060,121.1764706
距5号线天通苑北站3900米,11,1790,162.7272727
距5号线天通苑北站3850米,17,2090,122.9411765
距5号线天通苑北站3900米,11,1830,166.3636364
距5号线天通苑北站3900米,17,2160,127.0588235
距5号线天通苑北站3900米,11,1860,169.0909091
距5号线天通苑北站3900米,15,2090,139.3333333
距5号线天通苑北站3900米,17,2160,127.0588235
距5号线天通苑北站3900米,11,1790,162.7272727
距5号线天通苑北站3900米,11,1830,166.3636364
距5号线天通苑北站3900米,17,2160,127.0588235
距5号线天通苑北站3850米,15,2060,137.3333333
距5号线天通苑北站3850米,12,1830,152.5
距5号线天通苑北站3850米,12,1830,152.5
距5号线天通苑北站3900米,11,1830,166.3636364
距5号线天通苑北站3900米,17,2160,127.0588235
距5号线天通苑北站3850米,17,2090,122.9411765
距5号线天通苑北站3850米,11,1860,169.0909091
距5号线天通苑北站3850米,13,1990,153.0769231
距5号线天通苑北站3900米,19,2260,118.9473684
距5号线天通苑北站3900米,11,1830,166.3636364
距5号线天通苑北站3900米,19,2260,118.9473684
距5号线天通苑北站3900米,11,1830,166.3636364
距5号线天通苑北站3850米,11,1790,162.7272727
距5号线天通苑北站3850米,17,2090,122.9411765
距5号线天通苑北站3900米,14,2060,147.1428571
距5号线天通苑北站3900米,12,1860,155
距5号线天通苑站1700米,17,2760,162.3529412
距5号线天通苑南站150米,13,2830,217.6923077
距5号线天通苑北站2950米,18,2760,153.3333333
距5号线天通苑北站2950米,22,2330,105.9090909
距5号线天通苑北站3850米,12,1790,149.1666667
距5号线天通苑北站3850米,14,1890,135
距5号线天通苑站1000米,22,3190,145
距5号线天通苑站1000米,22,3390,154.0909091
距5号线天通苑站1000米,19,2730,143.6842105
距5号线天通苑北站3900米,11,1790,162.7272727
距5号线天通苑北站3900米,17,2090,122.9411765
距5号线天通苑北站3850米,11,1790,162.7272727
距5号线天通苑北站3850米,14,1890,135
距5号线天通苑北站3900米,11,1790,162.7272727
距5号线天通苑北站3900米,17,2090,122.9411765
